point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
29,-33.2793,16.796309190476578,-32.852012,16.804847052173976,16.804847052173976,177.608,-8.3294531613958,178.531092,-7.897402851458029,-6.0,-36.9313,374.76596378662333,-36.9188065,375.68688159566057,375.68688159566057,-0.427288,-0.008537861697402574,-0.923092,-0.43205030993777455,-0.0124935,-0.9209178090372155,-2.36547,-138.022,-0.9502665638830071,-0.7252473617357738,327.0
30,-32.2944,9.893653003418343,-31.752301000000003,9.960437042101645,9.960437042101645,148.51,-7.49437535628676,149.38397,-6.9477736401121355,-5.329323921601636,-43.9601,345.63310167822846,-43.8895835,346.5045567432178,346.5854792291433,-0.542099,-0.06678403868330349,-0.87397,-0.546601716174626,-0.0705165,-0.8714550649893756,-2.36547,-138.022,0.6339332003348853,-0.36580731163157293,153.0
31,-32.1407,9.59901856793713,-31.601088000000004,9.673079047324897,9.673079047324897,145.889,-7.354195596077908,146.75894000000002,-6.810102202672319,-5.197955714035149,-44.2661,343.01004220770494,-44.188324200000004,343.8775116448869,343.9581189693188,-0.539612,-0.07406047938776944,-0.86994,-0.544093393405586,-0.0777758,-0.8674694371819052,-2.36547,-138.022,0.5398898605716426,0.583248580556821,152.0
32,-33.0122,16.235867733140687,-32.561479,16.255931224512004,16.255931224512004,172.428,-8.089074942884363,173.345668,-7.633620816633609,-6.0,-37.5142,369.58217762750405,-37.4902065,370.49760030277474,370.49760030277474,-0.450721,-0.020063491371313805,-0.917668,-0.45545412625075504,-0.0239935,-0.9154226752707034,-2.36547,-138.022,0.8521244238289312,-0.8009598788901031,242.0
33,-33.468,22.167135572602753,-33.155302000000006,22.167557733871867,22.167557733871867,195.994,-8.423566099120027,196.96533,-8.105854466058677,-6.0,-31.4808,393.17612196241623,-31.4762024,394.1458344464693,394.1458344464693,-0.312698,-0.00042216126911828386,-0.97133,-0.31771163306135103,-0.0045976,-0.9697124840530004,-2.36547,-138.022,0.9803285874797466,0.658333778587712,330.0
34,-31.8031,8.97300923357782,-31.275499,9.067888759952993,9.067888759952993,140.634,-7.043700923491574,141.49213799999998,-6.5116808752984845,-4.934313469980633,-44.9149,337.7506082061845,-44.8163549,338.6064278909497,338.68529626121557,-0.527601,-0.09487952637516964,-0.858138,-0.5320200481930899,-0.0985451,-0.8558196847651882,-2.36547,-138.022,0.335943970555877,0.4741194751978458,151.0
35,-31.6313,8.651537407083993,-31.109247,8.754167489209273,8.754167489209273,137.999,-6.885491746708858,138.85291999999998,-6.35904198663799,-4.802190303153065,-45.2478,335.11333907268016,-45.141521999999995,335.96500299742496,336.0428455815992,-0.522053,-0.10263008212528056,-0.85392,-0.5264497600708703,-0.106278,-0.8516639247448005,-2.36547,-138.022,0.2285178616977004,-0.5828608092740811,151.0
36,-33.3126,21.794122244113822,-32.978986000000006,21.797587410787074,21.797587410787074,190.897,-8.294471453947683,191.8544,-7.955916286261637,-6.0,-31.8759,388.0767241313355,-31.868321690000002,389.0324117884473,389.0324117884473,-0.333614,-0.0034651666732548087,-0.9574,-0.3385551676860529,-0.00757831,-0.9556876571117715,-2.36547,-138.022,0.847137939262739,0.6129647153789165,329.0
37,-32.9876,15.962263748176973,-32.500387,15.992280205353076,15.992280205353076,164.762,-8.10405720308965,165.6673,-7.612176191003542,-6.0,-37.821,361.9148961789393,-37.7871105,362.81780547130575,362.81780547130575,-0.487213,-0.030016457176105342,-0.9053,-0.4918810120861224,-0.0338895,-0.9029092923664441,-2.36547,-138.022,0.7572108162405777,0.12712218852229853,240.0
38,-31.3052,8.043691740087013,-30.791211999999998,8.156937952775536,8.156937952775536,132.729,-6.586575750805451,133.572987,-6.068242980200058,-4.537916146579493,-45.8785,329.83904319340775,-45.761648,330.6808617925658,330.75737813424684,-0.513988,-0.11324621268852614,-0.843987,-0.5183327706053937,-0.116852,-0.8418185991580717,-2.36547,-138.022,0.02490777436459573,-0.6970478038600261,150.0
