x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-31.5893,137.317,-30.1961,-0.819192,-1.62064,-2.68258,6654.22,-3.56323,-286.308
-30.0565,105.152,-38.8155,-1.20017,-1.42674,-3.12835,6654.22,-3.56323,-286.308
-31.4518,134.713,-30.5253,-0.834687,-1.60944,-2.72046,6654.22,-3.56323,-286.308
-32.7935,187.013,-16.8987,-0.325916,-1.93567,-2.03381,6654.22,-3.56323,-286.308
-31.2952,132.099,-30.8799,-0.85162,-1.59809,-2.75447,6654.22,-3.56323,-286.308
-29.8107,99.8613,-39.4633,-1.25278,-1.4084,-3.19871,6654.22,-3.56323,-286.308
-32.8042,184.507,-16.9914,-0.339834,-1.92554,-2.06152,6654.22,-3.56323,-286.308
-28.437,66.9878,-48.0942,-1.78231,-1.28184,-3.57773,6654.22,-3.56323,-286.308
-32.6024,158.643,-23.0574,-0.59642,-1.77018,-2.38166,6654.22,-3.56323,-286.308
-30.9949,126.87,-31.5843,-0.88558,-1.57288,-2.83196,6654.22,-3.56323,-286.308
-32.8282,182.001,-17.0725,-0.356049,-1.91767,-2.09261,6654.22,-3.56323,-286.308
-32.4547,156.06,-23.398,-0.61008,-1.76043,-2.4187,6654.22,-3.56323,-286.308
-28.1542,61.5697,-48.8023,-1.84419,-1.27622,-3.63016,6654.22,-3.56323,-286.308
-32.8247,179.487,-17.1852,-0.369388,-1.90879,-2.123,6654.22,-3.56323,-286.308
-32.3484,153.489,-23.6758,-0.624736,-1.75026,-2.45394,6654.22,-3.56323,-286.308
-28.0264,58.8637,-49.1316,-1.872,-1.27277,-3.65691,6654.22,-3.56323,-286.308
-32.7823,176.959,-17.3671,-0.386566,-1.89929,-2.15381,6654.22,-3.56323,-286.308
-32.1975,150.903,-24.0133,-0.636627,-1.74021,-2.49162,6654.22,-3.56323,-286.308
-27.9038,56.156,-49.451,-1.89724,-1.27097,-3.68398,6654.22,-3.56323,-286.308
-32.7358,197.519,-12.0818,-0.236084,-2.0316,-1.92474,6654.22,-3.56323,-286.308
-32.762,174.436,-17.5077,-0.400889,-1.88983,-2.18443,6654.22,-3.56323,-286.308
-27.7872,53.4465,-49.7551,-1.92322,-1.27092,-3.70694,6654.22,-3.56323,-286.308
-29.0207,83.89,-41.5004,-1.42639,-1.3562,-3.39518,6654.22,-3.56323,-286.308
-30.2558,113.741,-33.3374,-0.985684,-1.51526,-3.01407,6654.22,-3.56323,-286.308
-27.6706,50.7351,-50.0565,-1.94952,-1.26932,-3.72507,6654.22,-3.56323,-286.308
-28.8965,81.2172,-41.8268,-1.45562,-1.3513,-3.42722,6654.22,-3.56323,-286.308
-32.7294,192.512,-12.2922,-0.264319,-2.02078,-1.96665,6654.22,-3.56323,-286.308
-27.5545,48.0219,-50.3544,-1.97389,-1.26744,-3.74348,6654.22,-3.56323,-286.308
-28.7626,78.5394,-42.1698,-1.48501,-1.34407,-3.45877,6654.22,-3.56323,-286.308
-32.6177,166.831,-18.0725,-0.451978,-1.86018,-2.27894,6654.22,-3.56323,-286.308
-27.4348,45.3017,-50.6602,-1.9977,-1.26783,-3.763,6654.22,-3.56323,-286.308
-28.6309,75.8594,-42.5069,-1.51398,-1.33736,-3.48997,6654.22,-3.56323,-286.308
-31.281,135.331,-26.083,-0.712192,-1.66956,-2.71447,6654.22,-3.56323,-286.308
-32.5546,164.287,-18.2839,-0.467954,-1.85061,-2.31082,6654.22,-3.56323,-286.308
-32.7031,187.507,-12.5369,-0.280754,-2.00011,-2.03071,6654.22,-3.56323,-286.308
-31.142,132.73,-26.4111,-0.730144,-1.65619,-2.74578,6654.22,-3.56323,-286.308
-28.3726,70.4898,-43.1719,-1.57225,-1.3257,-3.54522,6654.22,-3.56323,-286.308
-32.6769,184.996,-12.6845,-0.294152,-1.98998,-2.05912,6654.22,-3.56323,-286.308
